Results,Age,Benefit,Benefit Value,Body Type,Confidence,Cortisol Cleaning,Cortisol Filter,Created time,Inflammation Filter,Last edited time,Main Tag,Max Pain,Muscle Damage Filter,Muscle Soreness Filter,"Oxidative Stress Filter ",Pain Filter,Participants,Product,"Research Papers ",Score,Sex,Sleep Quality Filter,Sub Tag,Supplement,Trial Design,Trial Length,Year,💊 Supplements
"In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement.","8-29, 30-44, 45-64",Positive,1,,✅,Yes,0,"June 14, 2023 1:19 PM",0,"April 18, 2025 4:16 PM",Attention,Rhodiola Rosea,0,0,0,0,60,,"Rhodiola rosea (SHR-5), Part I: a proprietary root extract of Rhodiola rosea is found to be effective in the treatment of stress-related fatigue (https://www.notion.so/Rhodiola-rosea-SHR-5-Part-I-a-proprietary-root-extract-of-Rhodiola-rosea-is-found-to-be-effectiv-d48d0bd6da60435fb106b1a7e22acce0?pvs=21)",1,Both sexes,0,,Rhodiola Rosea,Randomized controlled trial,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement.","8-29, 30-44, 45-64",Positive,1,,✅,Yes,0,"June 14, 2023 1:19 PM",0,"April 18, 2025 4:16 PM",Cognition,Rhodiola Rosea,0,0,0,0,60,,"Rhodiola rosea (SHR-5), Part I: a proprietary root extract of Rhodiola rosea is found to be effective in the treatment of stress-related fatigue (https://www.notion.so/Rhodiola-rosea-SHR-5-Part-I-a-proprietary-root-extract-of-Rhodiola-rosea-is-found-to-be-effectiv-d48d0bd6da60435fb106b1a7e22acce0?pvs=21)",1,Both sexes,0,,Rhodiola Rosea,Randomized controlled trial,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"Intravenous L-carnitine significantly reduced total cholesterol, alanine aminotransferase, systolic and diastolic blood pressure, weight, waist circumference, waist hip ratio, insulin concentration, γ-glutamyltransferase concentration, perceived hunger, physical fatigue, and fatigue severity.",,Positive,1,,🚩,No,0,"June 14, 2023 1:22 PM",0,"April 18, 2025 4:05 PM",Liver Enzymes,L-Carnitine,0,0,0,0,30,,"L-carnitine ameliorated fasting-induced fatigue, hunger, and metabolic abnormalities in patients with metabolic syndrome: a randomized controlled study (https://www.notion.so/L-carnitine-ameliorated-fasting-induced-fatigue-hunger-and-metabolic-abnormalities-in-patients-wit-d043b5a1731c4464bfd4790aba9fb93c?pvs=21)",0,Both sexes,0,,L-Carnitine,Randomized controlled trial,1-7 Days,,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
"The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05).",,Positive,1,,✅,No,0,"June 15, 2023 9:46 AM",0,"April 18, 2025 4:05 PM","Physical Fatigue ",L-Carnitine,0,0,0,0,96,,Acetyl L-carnitine (ALC) treatment in elderly patients with fatigue (https://www.notion.so/Acetyl-L-carnitine-ALC-treatment-in-elderly-patients-with-fatigue-33132e098872475bb6a64f3dff2c7645?pvs=21),1,N/A,0,,L-Carnitine,Double-blind,n/a,,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
"The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05).",,Positive,1,,✅,No,0,"June 15, 2023 9:53 AM",0,"April 18, 2025 4:05 PM",Mental Fatigue,L-Carnitine,0,0,0,0,96,,Acetyl L-carnitine (ALC) treatment in elderly patients with fatigue (https://www.notion.so/Acetyl-L-carnitine-ALC-treatment-in-elderly-patients-with-fatigue-33132e098872475bb6a64f3dff2c7645?pvs=21),1,N/A,0,,L-Carnitine,Double-blind,n/a,,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
"The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05).",,Positive,1,,✅,No,0,"June 15, 2023 9:54 AM",0,"April 18, 2025 4:05 PM",Muscle Soreness,L-Carnitine,0,1,0,0,96,,Acetyl L-carnitine (ALC) treatment in elderly patients with fatigue (https://www.notion.so/Acetyl-L-carnitine-ALC-treatment-in-elderly-patients-with-fatigue-33132e098872475bb6a64f3dff2c7645?pvs=21),1,N/A,0,,L-Carnitine,Double-blind,n/a,,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
"The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05).",,Positive,1,,✅,No,0,"June 15, 2023 9:54 AM",0,"April 18, 2025 4:05 PM",Cognition,L-Carnitine,0,0,0,0,96,,Acetyl L-carnitine (ALC) treatment in elderly patients with fatigue (https://www.notion.so/Acetyl-L-carnitine-ALC-treatment-in-elderly-patients-with-fatigue-33132e098872475bb6a64f3dff2c7645?pvs=21),1,N/A,0,,L-Carnitine,Double-blind,n/a,,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
"The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05).",,Positive,1,,🚩,No,0,"June 15, 2023 9:59 AM",0,"April 18, 2025 4:05 PM","Physical Fatigue ",L-Carnitine,0,0,0,0,96,,Acetyl L-carnitine (ALC) treatment in elderly patients with fatigue (https://www.notion.so/Acetyl-L-carnitine-ALC-treatment-in-elderly-patients-with-fatigue-33132e098872475bb6a64f3dff2c7645?pvs=21),0,N/A,0,,L-Carnitine,Double-blind,n/a,,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
"The study found that the group treated with a high-concentration full-spectrum extract of Ashwagandha roots showed a significant reduction in stress-assessment scores and serum cortisol levels, indicating a decrease in stress levels.","18-29, 30-44, 45-64",Positive,1,Healthy Weight,✅,Yes,0,"June 15, 2023 10:29 AM",0,"April 18, 2025 4:21 PM",Stress,Ashwagandha,0,0,0,0,64,,"A prospective, randomized double-blind, placebo-controlled study of safety and efficacy of a high-concentration full-spectrum extract of ashwagandha root in reducing stress and anxiety in adults (https://www.notion.so/A-prospective-randomized-double-blind-placebo-controlled-study-of-safety-and-efficacy-of-a-high-co-500f2a518064431cac0e156d85f0e228?pvs=21)",1,Both sexes,0,,Ashwagandha,Double-blind,1-6 Months,,Ashwagandha (https://www.notion.so/Ashwagandha-1d659c2aeec581829ff5c6842e0e9604?pvs=21)
"The study also aimed to evaluate the efficacy of Ashwagandha roots in reducing anxiety. However, the abstract does not provide explicit results related to anxiety reduction.","18-29, 30-44, 45-64",Positive,1,Healthy Weight,🚩,Yes,0,"June 15, 2023 10:33 AM",0,"April 18, 2025 4:21 PM",Anxiety,Ashwagandha,0,0,0,0,64,,"A prospective, randomized double-blind, placebo-controlled study of safety and efficacy of a high-concentration full-spectrum extract of ashwagandha root in reducing stress and anxiety in adults (https://www.notion.so/A-prospective-randomized-double-blind-placebo-controlled-study-of-safety-and-efficacy-of-a-high-co-500f2a518064431cac0e156d85f0e228?pvs=21)",0,Both sexes,0,,Ashwagandha,Double-blind,1-6 Months,,Ashwagandha (https://www.notion.so/Ashwagandha-1d659c2aeec581829ff5c6842e0e9604?pvs=21)
"The study suggests that Ashwagandha root extract improves an individual's resistance towards stress and thereby improves self-assessed quality of life, which can be related to mood improvement.","18-29, 30-44, 45-64",Positive,1,Healthy Weight,🚩,Yes,0,"June 15, 2023 10:33 AM",0,"April 18, 2025 4:21 PM",Mood,Ashwagandha,0,0,0,0,64,,"A prospective, randomized double-blind, placebo-controlled study of safety and efficacy of a high-concentration full-spectrum extract of ashwagandha root in reducing stress and anxiety in adults (https://www.notion.so/A-prospective-randomized-double-blind-placebo-controlled-study-of-safety-and-efficacy-of-a-high-co-500f2a518064431cac0e156d85f0e228?pvs=21)",0,Both sexes,0,,Ashwagandha,Double-blind,1-6 Months,,Ashwagandha (https://www.notion.so/Ashwagandha-1d659c2aeec581829ff5c6842e0e9604?pvs=21)
"The study showed clinically relevant improvements with regard to stress symptoms after treatment with Rhodiola rosea extract WS® 1375. Improvements were observed even after 3 days of treatment, as were continuing improvements after 1 and 4 weeks.","30-44, 45-64",Positive,1,Overweight,✅,No,0,"June 15, 2023 10:43 AM",0,"April 18, 2025 4:16 PM",Stress,Rhodiola Rosea,0,0,0,0,82,,Therapeutic effects and safety of Rhodiola rosea extract WS® 1375 in subjects with life-stress symptoms--results of an open-label study (https://www.notion.so/Therapeutic-effects-and-safety-of-Rhodiola-rosea-extract-WS-1375-in-subjects-with-life-stress-sympt-86be9edd89204f00a9dd253b07cfb47a?pvs=21),1,Both sexes,0,,Rhodiola Rosea,Non-controlled Trial,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"The study used the Multidimensional Fatigue Inventory 20, which is a tool often used to measure fatigue, including mental fatigue. The study reported clinically relevant improvements, which suggests that the treatment had a positive effect on mental fatigue.","30-44, 45-64",Positive,1,Overweight,✅,No,0,"June 15, 2023 10:44 AM",0,"April 18, 2025 4:16 PM",Mental Fatigue,Rhodiola Rosea,0,0,0,0,82,,Therapeutic effects and safety of Rhodiola rosea extract WS® 1375 in subjects with life-stress symptoms--results of an open-label study (https://www.notion.so/Therapeutic-effects-and-safety-of-Rhodiola-rosea-extract-WS-1375-in-subjects-with-life-stress-sympt-86be9edd89204f00a9dd253b07cfb47a?pvs=21),1,Both sexes,0,,Rhodiola Rosea,Non-controlled Trial,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"The study reported improvements in overall therapeutic effect, which could be interpreted as an improvement in mood. However, the study does not provide explicit details about mood changes, so this categorization is somewhat uncertain.","30-44, 45-64",Positive,1,Overweight,🚩,No,0,"June 15, 2023 10:45 AM",0,"April 18, 2025 4:16 PM",Mood,Rhodiola Rosea,0,0,0,0,82,,Therapeutic effects and safety of Rhodiola rosea extract WS® 1375 in subjects with life-stress symptoms--results of an open-label study (https://www.notion.so/Therapeutic-effects-and-safety-of-Rhodiola-rosea-extract-WS-1375-in-subjects-with-life-stress-sympt-86be9edd89204f00a9dd253b07cfb47a?pvs=21),0,Both sexes,0,,Rhodiola Rosea,Non-controlled Trial,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"The study used the Numbers Connecting Test, which is a cognitive test. However, the study does not provide explicit results from this test, so it is uncertain whether the treatment had an effect on cognition.","30-44, 45-64",Positive,1,Overweight,🚩,No,0,"June 15, 2023 10:45 AM",0,"April 18, 2025 4:16 PM",Cognition,Rhodiola Rosea,0,0,0,0,82,,Therapeutic effects and safety of Rhodiola rosea extract WS® 1375 in subjects with life-stress symptoms--results of an open-label study (https://www.notion.so/Therapeutic-effects-and-safety-of-Rhodiola-rosea-extract-WS-1375-in-subjects-with-life-stress-sympt-86be9edd89204f00a9dd253b07cfb47a?pvs=21),0,Both sexes,0,,Rhodiola Rosea,Non-controlled Trial,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
" Both kava and valerian significantly relieved stress and insomnia in patients.",,Positive,1,,✅,No,0,"June 15, 2023 1:32 PM",0,"April 17, 2025 4:27 PM",Sleep Quality,Kava,0,0,0,0,24,,Kava and valerian in the treatment of stress-induced insomnia (https://www.notion.so/Kava-and-valerian-in-the-treatment-of-stress-induced-insomnia-31b75fc5b2634c4bab5577d6f3631b9f?pvs=21),1,N/A,1,,Kava,Non-controlled Trial,n/a,,Kava (https://www.notion.so/Kava-1d659c2aeec581029704dbeb0acd8f8e?pvs=21)
" Both kava and valerian significantly relieved stress and insomnia in patients.",,Positive,1,,✅,No,0,"June 15, 2023 1:32 PM",0,"April 17, 2025 4:27 PM",Stress,Kava,0,0,0,0,24,,Kava and valerian in the treatment of stress-induced insomnia (https://www.notion.so/Kava-and-valerian-in-the-treatment-of-stress-induced-insomnia-31b75fc5b2634c4bab5577d6f3631b9f?pvs=21),1,N/A,0,,Kava,Non-controlled Trial,n/a,,Kava (https://www.notion.so/Kava-1d659c2aeec581029704dbeb0acd8f8e?pvs=21)
Both kava and valerian significantly relieved stress and insomnia in patients.,,Positive,1,,✅,No,0,"June 15, 2023 1:37 PM",0,"April 17, 2025 4:54 PM",Stress,Valerian,0,0,0,0,24,,Valerian and Kava in the treatment of stress-induced insomnia (https://www.notion.so/Valerian-and-Kava-in-the-treatment-of-stress-induced-insomnia-15aa6a3785c441bab5c0fb06e3aca2a1?pvs=21),1,n/a,0,,Valerian,Non-controlled Trial,n/a,,Valerian (https://www.notion.so/Valerian-1d659c2aeec5818dbbdfec41a29fac82?pvs=21)
Both kava and valerian significantly relieved stress and insomnia in patients.,,Positive,1,,✅,No,0,"June 15, 2023 1:37 PM",0,"April 17, 2025 4:54 PM",Sleep Quality,Valerian,0,0,0,0,24,,Valerian and Kava in the treatment of stress-induced insomnia (https://www.notion.so/Valerian-and-Kava-in-the-treatment-of-stress-induced-insomnia-15aa6a3785c441bab5c0fb06e3aca2a1?pvs=21),1,n/a,1,,Valerian,Non-controlled Trial,n/a,,Valerian (https://www.notion.so/Valerian-1d659c2aeec5818dbbdfec41a29fac82?pvs=21)
"Inositol is as therapeutic in patients with bulimia nervosa and binge eating as it is in patients with depression and panic and obsessive-compulsive disorders. ",,Positive,1,,✅,No,0,"June 16, 2023 8:24 AM",0,"April 19, 2025 2:17 PM",Mood,Inositol,0,0,0,0,24,,Effect of inositol on bulimia nervosa and binge eating (https://www.notion.so/Effect-of-inositol-on-bulimia-nervosa-and-binge-eating-d5b5d48193ba470fbed037891505fbb5?pvs=21),1,Both sexes,0,,Inositol,Double-blind,1-6 Months,,Inositol (https://www.notion.so/Inositol-1d659c2aeec58138a552f53ba64d7de2?pvs=21)
"Inositol is as therapeutic in patients with bulimia nervosa and binge eating as it is in patients with depression and panic and obsessive-compulsive disorders. ",,Positive,1,,✅,No,0,"June 16, 2023 8:26 AM",0,"April 19, 2025 2:17 PM",Anxiety,Inositol,0,0,0,0,24,,Effect of inositol on bulimia nervosa and binge eating (https://www.notion.so/Effect-of-inositol-on-bulimia-nervosa-and-binge-eating-d5b5d48193ba470fbed037891505fbb5?pvs=21),1,Both sexes,0,,Inositol,Double-blind,1-6 Months,,Inositol (https://www.notion.so/Inositol-1d659c2aeec58138a552f53ba64d7de2?pvs=21)
"The study found a significant improvement in physical fitness in the group that took the Rhodiola rosea extract SHR-5 (p <0.01). This suggests that the extract may help reduce physical fatigue, although the study does not explicitly state this.","13-17, 18-29",Positive,1,Healthy Weight,✅,No,0,"June 20, 2023 2:10 PM",0,"April 18, 2025 4:16 PM","Physical Fatigue ",Rhodiola Rosea,0,0,0,0,40,,"A double-blind, placebo-controlled pilot study of the stimulating and adaptogenic effect of Rhodiola rosea SHR-5 extract on the fatigue of students caused by stress during an examination period with a repeated low-dose regimen (https://www.notion.so/A-double-blind-placebo-controlled-pilot-study-of-the-stimulating-and-adaptogenic-effect-of-Rhodiola-c346420e85f04ce0951d1e185dd97a8b?pvs=21)",1,Male,0,,Rhodiola Rosea,Double-blind,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
The study found a significant improvement in mental fatigue in the group that took the Rhodiola rosea extract SHR-5 (p <0.01). This suggests that the extract may help reduce mental fatigue.,"13-17, 18-29",Positive,1,Healthy Weight,✅,No,0,"June 20, 2023 2:10 PM",0,"April 18, 2025 4:16 PM",Mental Fatigue,Rhodiola Rosea,0,0,0,0,40,,"A double-blind, placebo-controlled pilot study of the stimulating and adaptogenic effect of Rhodiola rosea SHR-5 extract on the fatigue of students caused by stress during an examination period with a repeated low-dose regimen (https://www.notion.so/A-double-blind-placebo-controlled-pilot-study-of-the-stimulating-and-adaptogenic-effect-of-Rhodiola-c346420e85f04ce0951d1e185dd97a8b?pvs=21)",1,Male,0,,Rhodiola Rosea,Double-blind,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
The self-assessment of general well-being was significantly better in the group that took the Rhodiola rosea extract SHR-5 (p < 0.05). This suggests that the extract may have a positive effect on mood.,"13-17, 18-29",Positive,1,Healthy Weight,✅,No,0,"June 20, 2023 2:11 PM",0,"April 18, 2025 4:16 PM",Mood,Rhodiola Rosea,0,0,0,0,40,,"A double-blind, placebo-controlled pilot study of the stimulating and adaptogenic effect of Rhodiola rosea SHR-5 extract on the fatigue of students caused by stress during an examination period with a repeated low-dose regimen (https://www.notion.so/A-double-blind-placebo-controlled-pilot-study-of-the-stimulating-and-adaptogenic-effect-of-Rhodiola-c346420e85f04ce0951d1e185dd97a8b?pvs=21)",1,Male,0,,Rhodiola Rosea,Double-blind,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
